month,date,hour,R-value [m2k/w],Stories,Weighted temp. setpoint [C],Weighted RH%,Solar irradiation [w/m2],Outside temp. [C],Outside RH%,Heating Load [kwh],Cooling load [kwh]
1,3,12,4.1,13,24,63,0.3,-2,52,153.59,41.6
1,3,13,4.2,26,23,75,0.27,-4,52,312.74,72.8
1,3,14,3.6,27,24,62,0.24,-4,52,387.00,75.6
1,3,15,3.7,15,24,78,0.21,-5,52,218.27,39
1,3,16,3.7,24,22,77,0.18,-6,52,346.38,57.6
1,3,17,4.0,1,23,70,0.15,-7,52,13.93,2.2
1,3,18,3.8,12,22,72,0,-8,52,185.68,24
1,3,19,4.3,3,24,75,0,-10,52,43.90,4.8
1,3,20,4.3,16,16,74,0,-12,52,211.65,19.2
1,3,21,4.0,12,18,65,0,-12,52,175.56,14.4
1,3,22,4.0,15,19,75,0,-14,52,232.20,12
1,3,23,3.9,23,18,64,0,-14,52,356.68,18.4
1,3,24,3.4,4,17,64,0,-14,52,69.98,3.2
1,4,1,4.3,23,18,65,0,-15,52,329.06,13.8
1,4,2,3.7,19,16,70,0,-14,52,301.54,15.2
1,4,3,4.1,10,17,68,0,-13,52,143.02,10
1,4,4,4.2,19,17,67,0,-12,52,260.57,22.8
1,4,5,4.1,21,19,60,0,-11,52,298.71,29.4
1,4,6,4.0,6,16,77,0,-10,52,82.50,9.6
1,4,7,4.2,28,18,63,0.15,-6,52,329.60,67.2
1,4,8,3.5,17,23,76,0.18,-5,52,259.18,44.2
1,4,9,4.2,19,20,69,0.21,-3,52,214.79,57
1,4,10,3.8,2,21,79,0.24,-1,52,24.36,6.8
1,4,11,3.8,20,21,61,0.27,-1,52,236.63,68
1,4,12,4.1,28,22,68,0.3,-2,52,318.52,89.6
1,4,13,3.8,7,21,75,0.27,-4,52,89.38,19.6
1,4,14,3.3,21,24,77,0.24,-4,52,332.18,58.8
1,4,15,4.1,13,24,60,0.21,-5,52,168.43,33.8
1,4,16,4.1,18,21,61,0.18,-6,52,227.24,43.2
1,4,17,4.2,10,23,77,0.15,-7,52,133.33,22
1,4,18,3.7,25,20,76,0,-8,52,384.86,50
1,4,19,3.7,27,21,78,0,-10,52,438.13,43.2
1,4,20,4.0,12,18,77,0,-12,52,177.00,14.4
1,4,21,4.3,29,16,72,0,-12,52,383.07,34.8
1,4,22,3.5,12,16,60,0,-14,52,199.95,9.6
1,4,23,3.5,21,17,69,0,-14,52,358.08,16.8
1,4,24,4.1,23,16,80,0,-14,52,331.65,18.4
1,5,1,3.8,24,16,70,0,-15,52,377.18,14.4
1,5,2,4.2,27,17,78,0,-14,52,385.97,21.6
1,5,3,3.4,19,16,77,0,-13,52,324.12,19
1,5,4,3.5,16,17,72,0,-12,52,264.23,19.2
1,5,5,3.8,19,19,69,0,-11,52,293.40,26.6
1,5,6,3.7,22,19,80,0,-10,52,345.58,35.2
1,5,7,3.9,16,17,61,0.15,-6,52,198.40,38.4
1,5,8,3.6,6,20,77,0.18,-5,52,84.00,15.6
1,5,9,4.3,30,23,61,0.21,-3,52,349.95,90
1,5,10,4.1,29,20,76,0.24,-1,52,319.42,98.6
1,5,11,4.2,6,24,62,0.27,-1,52,68.57,20.4
1,5,12,4.3,2,22,71,0.3,-2,52,21.75,6.4
1,5,13,3.4,21,24,72,0.27,-4,52,317.47,58.8
1,5,14,4.2,20,22,62,0.24,-4,52,236.19,56
1,5,15,3.8,21,21,64,0.21,-5,52,277.86,54.6
1,5,16,4.0,19,20,61,0.18,-6,52,241.11,45.6
1,5,17,3.9,13,20,64,0.15,-7,52,174.93,28.6
1,5,18,4.3,27,21,74,0,-8,52,363.43,54
1,5,19,4.3,5,23,60,0,-10,52,71.30,8
1,5,20,4.2,5,16,78,0,-12,52,67.90,6
1,5,21,4.1,6,18,69,0,-12,52,85.87,7.2
1,5,22,3.9,23,19,61,0,-14,52,361.87,18.4
1,5,23,3.4,8,16,73,0,-14,52,138.45,6.4
1,5,24,3.7,26,16,73,0,-14,52,413.47,20.8
1,6,1,4.2,22,17,77,0,-15,52,319.52,13.2
1,6,2,3.8,9,18,69,0,-14,52,143.72,7.2
1,6,3,4.1,27,18,71,0,-13,52,393.54,27
1,6,4,3.7,16,18,73,0,-12,52,254.44,19.2
1,6,5,3.8,15,16,70,0,-11,52,219.95,21
1,6,6,3.5,26,18,75,0,-10,52,422.83,41.6
1,6,7,3.6,22,19,63,0.15,-6,52,308.24,52.8
1,6,8,3.4,21,24,64,0.18,-5,52,332.79,54.6
1,6,9,4.3,28,21,70,0.21,-3,52,315.94,84
1,6,10,3.4,18,21,78,0.24,-1,52,244.80,61.2
1,6,11,4.3,22,21,68,0.27,-1,52,231.46,74.8
1,6,12,3.9,22,21,71,0.3,-2,52,258.13,70.4
1,6,13,3.3,18,23,74,0.27,-4,52,275.35,50.4
1,6,14,4.1,23,20,70,0.24,-4,52,268.82,64.4
1,6,15,4.2,10,24,67,0.21,-5,52,127.14,26
1,6,16,3.7,7,22,71,0.18,-6,52,100.57,16.8
1,6,17,4.1,3,22,78,0.15,-7,52,40.27,6.6
1,6,18,3.7,9,21,69,0,-8,52,140.30,18
1,6,19,4.3,19,22,70,0,-10,52,268.30,30.4
1,6,20,3.9,17,17,68,0,-12,52,251.25,20.4
1,6,21,4.3,17,19,66,0,-12,52,235.47,20.4
1,6,22,3.6,11,16,78,0,-14,52,180.40,8.8
1,6,23,3.8,1,16,80,0,-14,52,15.56,0.8
1,6,24,3.5,9,19,64,0,-14,52,158.09,7.2
1,7,1,3.7,6,18,69,0,-15,52,100.02,3.6
1,7,2,3.8,6,17,61,0,-14,52,93.73,4.8
1,7,3,3.6,20,18,75,0,-13,52,332.89,20
1,7,4,4.2,16,17,74,0,-12,52,220.50,19.2
1,7,5,3.6,30,18,64,0,-11,52,479.00,42
1,7,6,4.0,17,17,63,0,-10,52,235.62,27.2
1,7,7,3.3,19,16,79,0.15,-6,52,276.82,45.6
1,7,8,3.4,10,23,64,0.18,-5,52,155.53,26
1,7,9,3.5,23,22,71,0.21,-3,52,325.68,69
1,7,10,4.3,14,20,74,0.24,-1,52,146.77,47.6
1,7,11,4.1,5,24,72,0.27,-1,52,59.02,17
1,7,12,3.5,8,24,76,0.3,-2,52,111.91,25.6
1,7,13,4.2,1,22,73,0.27,-4,52,11.77,2.8
1,7,14,4.0,30,20,71,0.24,-4,52,359.70,84
1,7,15,3.5,29,24,76,0.21,-5,52,445.44,75.4
1,7,16,3.8,17,24,61,0.18,-6,52,244.98,40.8
1,7,17,3.6,10,22,67,0.15,-7,52,151.67,22
1,7,18,3.3,2,23,72,0,-8,52,36.24,4
1,7,19,4.0,10,21,68,0,-10,52,149.10,16
1,7,20,3.4,11,16,74,0,-12,52,184.02,13.2
1,7,21,4.2,28,19,65,0,-12,52,396.80,33.6
1,7,22,3.5,24,19,67,0,-14,52,422.40,19.2
1,7,23,3.8,5,19,78,0,-14,52,81.63,4
1,7,24,3.5,13,18,78,0,-14,52,226.72,10.4
1,8,1,3.8,6,18,62,0,-15,52,96.95,3.6
1,8,2,3.3,5,18,69,0,-14,52,91.94,4
1,8,3,3.8,19,16,79,0,-13,52,290.40,19
1,8,4,3.6,30,17,69,0,-12,52,480.67,36
1,8,5,3.7,7,17,73,0,-11,52,107.54,9.8
1,8,6,4.1,22,16,67,0,-10,52,292.98,35.2
1,8,7,4.3,18,17,68,0.15,-6,52,203.61,43.2
1,8,8,3.4,7,20,80,0.18,-5,52,104.01,18.2
1,8,9,3.5,22,21,79,0.21,-3,52,307.25,66
1,8,10,4.1,7,20,72,0.24,-1,52,76.83,23.8
1,8,11,3.8,5,24,65,0.27,-1,52,63.32,17
1,8,12,3.8,28,20,71,0.3,-2,52,329.81,89.6
1,8,13,3.8,30,22,71,0.27,-4,52,389.68,84
1,8,14,4.3,26,22,72,0.24,-4,52,302.33,72.8
1,8,15,3.7,28,20,67,0.21,-5,52,373.84,72.8
1,8,16,3.7,6,21,70,0.18,-6,52,84.52,14.4
1,8,17,4.3,28,20,70,0.15,-7,52,343.29,61.6
1,8,18,3.8,13,22,65,0,-8,52,200.20,26
1,8,19,3.4,2,22,66,0,-10,52,35.62,3.2
1,8,20,4.3,19,18,79,0,-12,52,261.05,22.8
1,8,21,3.9,1,19,61,0,-12,52,15.22,1.2
1,8,22,3.8,26,16,73,0,-14,52,402.59,20.8
1,8,23,3.4,9,18,66,0,-14,52,160.31,7.2
1,8,24,4.1,22,19,74,0,-14,52,332.04,17.6
1,9,1,4.0,28,17,66,0,-15,52,423.92,16.8
1,9,2,3.7,27,17,65,0,-14,52,434.34,21.6
1,9,3,4.0,23,16,65,0,-13,52,330.74,23
1,9,4,4.3,22,19,78,0,-12,52,307.18,26.4
1,9,5,4.0,12,17,70,0,-11,52,170.16,16.8
1,9,6,3.8,4,19,65,0,-10,52,60.55,6.4
1,9,7,3.4,19,19,69,0.15,-6,52,283.21,45.6
1,9,8,4.3,10,24,62,0.18,-5,52,125.12,26
1,9,9,3.6,7,23,79,0.21,-3,52,98.93,21
1,9,10,3.7,12,21,77,0.24,-1,52,149.84,40.8
1,9,11,4.2,21,23,60,0.27,-1,52,234.60,71.4
1,9,12,4.2,2,23,63,0.3,-2,52,22.59,6.4
1,9,13,4.3,15,21,61,0.27,-4,52,167.30,42
1,9,14,4.1,13,22,71,0.24,-4,52,158.41,36.4
1,9,15,3.5,9,20,72,0.21,-5,52,127.54,23.4
1,9,16,3.3,5,20,78,0.18,-6,52,77.94,12
1,9,17,3.6,16,23,71,0.15,-7,52,247.82,35.2
1,9,18,3.6,30,20,60,0,-8,52,469.33,60
1,9,19,4.2,8,23,75,0,-10,52,117.94,12.8
1,9,20,4.2,15,18,64,0,-12,52,208.86,18
1,9,21,3.9,16,18,67,0,-12,52,240.41,19.2
1,9,22,4.3,28,18,78,0,-14,52,397.47,22.4
1,9,23,4.1,1,16,77,0,-14,52,14.39,0.8
1,9,24,3.8,2,17,70,0,-14,52,31.43,1.6
1,10,1,4.1,25,18,76,0,-15,52,377.80,15
1,10,2,3.9,30,16,66,0,-14,52,450.46,24
1,10,3,3.6,29,19,80,0,-13,52,492.36,29
1,10,4,3.8,10,19,74,0,-12,52,157.58,12
1,10,5,3.8,29,17,67,0,-11,52,431.95,40.6
1,10,6,3.3,12,18,74,0,-10,52,206.84,19.2
1,10,7,4.1,17,16,68,0.15,-6,52,197.53,40.8
1,10,8,4.1,27,20,65,0.18,-5,52,328.74,70.2
1,10,9,4.0,18,24,74,0.21,-3,52,232.56,54
1,10,10,4.2,18,21,71,0.24,-1,52,196.97,61.2
1,10,11,3.3,9,21,66,0.27,-1,52,123.16,30.6
1,10,12,3.3,7,20,69,0.3,-2,52,94.78,22.4
1,10,13,4.2,20,22,78,0.27,-4,52,236.38,56
1,10,14,3.8,9,20,73,0.24,-4,52,113.78,25.2
1,10,15,4.3,24,22,80,0.21,-5,52,289.79,62.4
1,10,16,4.1,4,23,70,0.18,-6,52,52.80,9.6
1,10,17,3.6,17,22,64,0.15,-7,52,257.27,37.4
1,10,18,3.9,27,24,68,0,-8,52,419.82,54
1,10,19,3.9,12,21,71,0,-10,52,183.88,19.2
1,10,20,4.3,13,19,76,0,-12,52,181.27,15.6
1,10,21,4.3,19,18,63,0,-12,52,258.22,22.8
1,10,22,3.8,12,18,70,0,-14,52,191.75,9.6
1,10,23,3.9,6,19,78,0,-14,52,95.45,4.8
1,10,24,3.6,12,17,72,0,-14,52,199.33,9.6
1,11,1,4.0,4,18,74,0,-15,52,65.90,1.8
1,11,2,3.9,20,18,64,0,-14,52,328.97,12
1,11,3,4.1,10,18,63,0,-13,52,153.84,7.5
1,11,4,4.1,16,17,79,0,-12,52,243.02,14.4
1,11,5,4.1,13,18,76,0,-11,52,196.74,13.65
1,11,6,4.0,1,19,73,0,-10,52,15.46,1.2
1,11,7,3.6,20,18,71,0.15,-6,52,296.11,36
1,11,8,3.4,26,20,76,0.18,-5,52,412.94,50.7
1,11,9,3.7,2,21,69,0.21,-3,52,28.00,4.5
1,11,10,3.7,6,22,71,0.24,-1,52,81.53,15.3
1,11,11,4.2,19,22,78,0.27,-1,52,226.76,48.45
1,11,12,3.7,22,24,67,0.3,-2,52,306.96,52.8
1,11,13,4.1,15,23,71,0.27,-4,52,196.10,31.5
1,11,14,4.0,2,23,61,0.24,-4,52,26.76,4.2
1,11,15,3.3,3,21,77,0.21,-5,52,49.45,5.85
1,11,16,3.4,9,20,66,0.18,-6,52,143.60,16.2
1,11,17,3.3,26,21,80,0.15,-7,52,456.77,42.9
1,11,18,3.3,27,22,60,0,-8,52,506.05,40.5
1,11,19,3.9,20,23,66,0,-10,52,334.87,24
1,11,20,3.3,6,19,71,0,-12,52,115.77,5.4
1,11,21,4.1,1,16,67,0,-12,52,14.73,0.9
1,11,22,3.5,13,17,60,0,-14,52,233.44,7.8
1,11,23,4.0,28,16,75,0,-14,52,440.83,16.8
1,11,24,3.5,11,17,70,0,-14,52,199.89,6.6
1,12,1,4.3,5,19,64,0,-15,52,76.92,2.25
1,12,2,3.6,3,18,63,0,-14,52,53.40,1.8
1,12,3,3.3,21,16,78,0,-13,52,395.82,15.75
1,12,4,3.6,21,19,61,0,-12,52,367.06,18.9
1,12,5,3.6,20,16,71,0,-11,52,331.53,21
1,12,6,3.3,29,19,78,0,-10,52,546.61,34.8
1,12,7,3.8,16,18,80,0.15,-6,52,227.26,28.8
1,12,8,4.2,15,21,72,0.18,-5,52,195.36,29.25
1,12,9,4.3,24,23,66,0.21,-3,52,299.02,54
1,12,10,3.3,16,22,79,0.24,-1,52,246.67,40.8
1,12,11,3.8,30,21,76,0.27,-1,52,386.64,76.5
1,12,12,3.5,8,22,64,0.3,-2,52,112.91,19.2
1,12,13,3.7,13,22,71,0.27,-4,52,184.81,27.3
1,12,14,4.3,17,22,76,0.24,-4,52,212.10,35.7
1,12,15,3.9,13,24,66,0.21,-5,52,188.58,25.35
1,12,16,3.4,29,22,78,0.18,-6,52,487.46,52.2
1,12,17,3.6,24,21,80,0.15,-7,52,386.50,39.6
1,12,18,3.9,27,21,65,0,-8,52,423.87,40.5
1,12,19,4.3,15,20,66,0,-10,52,217.33,18
1,12,20,3.5,18,18,67,0,-12,52,320.79,16.2
1,12,21,4.2,25,19,67,0,-12,52,377.23,22.5
1,12,22,3.6,4,18,71,0,-14,52,71.86,2.4
1,12,23,3.5,26,16,60,0,-14,52,459.46,15.6
1,12,24,4.1,26,19,65,0,-14,52,413.62,15.6
1,13,1,4.3,5,19,70,0,-15,52,77.44,2.25
1,13,2,3.4,26,19,66,0,-14,52,499.35,15.6
1,13,3,4.0,8,17,65,0,-13,52,124.45,6
1,13,4,3.5,30,18,67,0,-12,52,534.64,27
1,13,5,4.2,10,17,65,0,-11,52,143.39,10.5
1,13,6,4.0,17,18,61,0,-10,52,254.68,20.4
1,13,7,3.4,7,17,77,0.15,-6,52,108.60,12.6
1,13,8,4.2,14,23,71,0.18,-5,52,188.75,27.3
1,13,9,3.7,1,21,74,0.21,-3,52,14.10,2.25
1,13,10,3.6,26,21,71,0.24,-1,52,355.88,66.3
1,13,11,3.8,10,23,72,0.27,-1,52,133.36,25.5
1,13,12,3.3,15,24,66,0.3,-2,52,234.32,36
1,13,13,3.7,20,22,69,0.27,-4,52,283.51,42
1,13,14,4.2,25,22,76,0.24,-4,52,319.35,52.5
1,13,15,4.2,16,20,69,0.21,-5,52,201.14,31.2
1,13,16,3.7,25,23,69,0.18,-6,52,388.34,45
1,13,17,3.3,18,22,62,0.15,-7,52,314.32,29.7
1,13,18,4.2,6,22,76,0,-8,52,90.07,9
1,13,19,3.3,17,24,60,0,-10,52,339.23,20.4
1,13,20,4.0,26,18,64,0,-12,52,403.98,23.4
1,13,21,3.8,7,19,65,0,-12,52,116.47,6.3
1,13,22,3.7,26,19,74,0,-14,52,463.08,15.6
1,13,23,4.2,22,19,61,0,-14,52,340.08,13.2
1,13,24,4.1,1,19,61,0,-14,52,15.84,0.6
1,14,1,3.3,4,19,70,0,-15,52,80.73,1.8
1,14,2,3.7,13,19,64,0,-14,52,228.91,7.8
1,14,3,3.4,1,18,69,0,-13,52,18.68,0.75
1,14,4,4.0,24,17,65,0,-12,52,367.35,21.6
1,14,5,3.9,14,18,71,0,-11,52,221.40,14.7
1,14,6,3.9,24,16,77,0,-10,52,363.85,28.8
1,14,7,4.0,16,19,71,0.15,-6,52,217.20,28.8
1,14,8,3.3,1,21,64,0.18,-5,52,16.39,1.95
1,14,9,3.6,3,22,64,0.21,-3,52,43.69,6.75
1,14,10,4.2,18,23,75,0.24,-1,52,221.04,45.9
1,14,11,3.5,28,23,67,0.27,-1,52,402.40,71.4
1,14,12,3.5,18,20,72,0.3,-2,52,246.86,43.2
1,14,13,4.0,29,24,62,0.27,-4,52,390.96,60.9
1,14,14,3.6,7,23,79,0.24,-4,52,106.70,14.7
1,14,15,3.6,10,24,79,0.21,-5,52,159.86,19.5
1,14,16,4.0,27,21,70,0.18,-6,52,374.96,48.6
1,14,17,3.3,18,20,70,0.15,-7,52,306.68,29.7
1,14,18,3.5,29,21,60,0,-8,52,504.19,43.5
1,14,19,4.1,20,24,73,0,-10,52,325.98,24
1,14,20,3.6,24,17,75,0,-12,52,413.17,21.6
1,14,21,3.9,24,18,61,0,-12,52,381.08,21.6
1,14,22,3.8,2,16,62,0,-14,52,32.63,1.2
1,14,23,3.5,1,18,67,0,-14,52,18.39,0.6
1,14,24,4.2,11,17,70,0,-14,52,166.57,6.6
1,15,1,3.4,15,19,67,0,-15,52,292.83,6.75
1,15,2,4.1,16,18,67,0,-14,52,251.22,9.6
1,15,3,4.1,26,19,78,0,-13,52,413.46,19.5
1,15,4,3.9,21,16,70,0,-12,52,326.31,18.9
1,15,5,3.8,23,19,69,0,-11,52,378.44,24.15
1,15,6,3.7,9,18,63,0,-10,52,146.13,10.8
1,15,7,4.3,14,16,68,0.15,-6,52,166.29,25.2
1,15,8,4.2,17,22,60,0.18,-5,52,221.81,33.15
1,15,9,3.4,26,24,78,0.21,-3,52,424.22,58.5
1,15,10,3.5,3,23,74,0.24,-1,52,44.14,7.65
1,15,11,3.3,25,23,69,0.27,-1,52,382.20,63.75
1,15,12,4.1,14,20,66,0.3,-2,52,162.37,33.6
1,15,13,3.4,5,22,75,0.27,-4,52,77.79,10.5
1,15,14,3.7,26,20,79,0.24,-4,52,364.53,54.6
1,15,15,4.1,28,21,66,0.21,-5,52,365.88,54.6
1,15,16,4.3,15,20,61,0.18,-6,52,187.94,27
1,15,17,4.1,29,20,74,0.15,-7,52,399.81,47.85
1,15,18,3.8,9,24,73,0,-8,52,153.53,13.5
1,15,19,3.8,8,21,71,0,-10,52,134.05,9.6
1,15,20,4.2,5,17,73,0,-12,52,73.60,4.5
1,15,21,4.2,10,18,62,0,-12,52,147.62,9
1,15,22,3.4,20,18,61,0,-14,52,376.03,12
1,15,23,3.5,28,17,67,0,-14,52,507.00,16.8
1,15,24,3.6,18,17,66,0,-14,52,316.50,10.8
1,16,1,4.3,12,18,64,0,-15,52,181.81,5.4
1,16,2,3.6,18,19,79,0,-14,52,331.38,10.8
1,16,3,4.0,4,17,80,0,-13,52,63.35,3
1,16,4,3.9,15,19,67,0,-12,52,243.75,13.5
1,16,5,3.7,26,16,70,0,-11,52,418.81,27.3
1,16,6,3.7,2,16,72,0,-10,52,31.76,2.4
1,16,7,3.9,21,18,65,0.15,-6,52,284.58,37.8
1,16,8,3.4,13,20,71,0.18,-5,52,205.04,25.35
1,16,9,3.7,2,24,77,0.21,-3,52,29.95,4.5
1,16,10,3.3,9,22,69,0.24,-1,52,136.70,22.95
1,16,11,4.2,2,24,74,0.27,-1,52,24.68,5.1
1,16,12,3.8,15,20,75,0.3,-2,52,190.36,36
1,16,13,4.1,19,20,74,0.27,-4,52,235.53,39.9
1,16,14,3.9,18,21,76,0.24,-4,52,243.00,37.8
1,16,15,4.3,21,24,65,0.21,-5,52,275.93,40.95
1,16,16,4.3,18,24,76,0.18,-6,52,246.98,32.4
1,16,17,3.7,11,23,75,0.15,-7,52,177.19,18.15
1,16,18,3.9,22,22,63,0,-8,52,350.17,33
1,16,19,3.4,28,22,79,0,-10,52,537.56,33.6
1,16,20,4.3,22,16,63,0,-12,52,307.36,19.8
1,16,21,3.6,28,18,62,0,-12,52,482.22,25.2
1,16,22,4.3,19,18,61,0,-14,52,282.46,11.4
1,16,23,4.0,21,17,62,0,-14,52,330.75,12.6
1,16,24,3.5,23,19,62,0,-14,52,427.14,13.8
1,17,1,3.8,8,18,78,0,-15,52,139.37,3.6
1,17,2,3.7,29,16,60,0,-14,52,484.77,17.4
1,17,3,4.1,22,19,69,0,-13,52,346.23,16.5
1,17,4,3.7,9,17,71,0,-12,52,150.02,8.1
1,17,5,3.6,12,18,68,0,-11,52,204.83,12.6
1,17,6,3.6,7,17,67,0,-10,52,115.45,8.4
1,17,7,4.2,23,16,72,0.15,-6,52,281.34,41.4
1,17,8,4.0,1,24,72,0.18,-5,52,14.43,1.95
1,17,9,4.2,8,22,62,0.21,-3,52,99.57,18
1,17,10,3.6,23,22,62,0.24,-1,52,316.89,58.65
1,17,11,3.4,6,24,72,0.27,-1,52,91.19,15.3
1,17,12,4.1,8,23,72,0.3,-2,52,99.51,19.2
1,17,13,4.3,5,23,80,0.27,-4,52,63.11,10.5
1,17,14,4.2,8,20,69,0.24,-4,52,97.38,16.8
1,17,15,3.8,30,21,79,0.21,-5,52,430.66,58.5
1,17,16,3.8,28,24,60,0.18,-6,52,425.89,50.4
1,17,17,3.9,6,23,63,0.15,-7,52,90.31,9.9
1,17,18,3.7,29,24,72,0,-8,52,507.50,43.5
1,17,19,4.1,14,23,70,0,-10,52,224.00,16.8
1,17,20,4.1,2,18,77,0,-12,52,30.79,1.8
1,17,21,3.3,12,16,64,0,-12,52,218.73,10.8
1,17,22,3.5,4,17,63,0,-14,52,72.09,2.4
1,17,23,4.3,16,16,72,0,-14,52,233.49,9.6
1,17,24,4.1,11,16,69,0,-14,52,167.75,6.6
1,18,1,3.6,9,18,62,0,-15,52,162.50,4.05
1,18,2,3.4,5,16,76,0,-14,52,92.72,3
1,18,3,3.5,5,16,79,0,-13,52,88.96,3.75
1,18,4,3.4,17,16,76,0,-12,52,305.25,15.3
1,18,5,4.3,24,16,64,0,-11,52,330.14,25.2
1,18,6,4.2,1,18,69,0,-10,52,14.41,1.2
1,18,7,4.0,28,18,79,0.15,-6,52,377.30,50.4
1,18,8,4.1,3,23,79,0.18,-5,52,41.87,5.85
1,18,9,4.2,16,21,73,0.21,-3,52,198.48,36
1,18,10,4.2,22,20,71,0.24,-1,52,252.87,56.1
1,18,11,3.4,3,22,76,0.27,-1,52,44.10,7.65
1,18,12,3.5,3,23,70,0.3,-2,52,43.59,7.2
1,18,13,3.3,19,20,74,0.27,-4,52,292.63,39.9
1,18,14,3.8,29,23,65,0.24,-4,52,410.77,60.9
1,18,15,4.0,25,24,74,0.21,-5,52,357.34,48.75
1,18,16,3.6,2,23,77,0.18,-6,52,32.26,3.6
1,18,17,4.0,28,21,62,0.15,-7,52,396.38,46.2
1,18,18,3.3,1,21,78,0,-8,52,18.85,1.5
1,18,19,4.0,8,21,74,0,-10,52,127.80,9.6
1,18,20,3.6,27,19,75,0,-12,52,479.81,24.3
1,18,21,3.6,25,18,74,0,-12,52,436.81,22.5
1,18,22,4.3,21,17,61,0,-14,52,307.31,12.6
1,18,23,3.8,26,17,80,0,-14,52,440.29,15.6
1,18,24,3.6,11,18,63,0,-14,52,195.78,6.6
1,19,1,4.0,14,18,68,0,-15,52,229.08,6.3
1,19,2,3.4,16,16,60,0,-14,52,291.06,9.6
1,19,3,3.8,25,18,69,0,-13,52,417.93,18.75
1,19,4,3.6,1,18,67,0,-12,52,17.33,0.9
1,19,5,3.4,9,16,72,0,-11,52,158.16,9.45
1,19,6,4.2,12,16,67,0,-10,52,166.79,14.4
