month,date,hour,R-value [m2k/w],Stories,Weighted temp. setpoint [C],Weighted RH%,Solar irradiation [w/m2],Outside temp. [C],Outside RH%,Heating (Malfunctioning Sensor),Cooling load [kwh],
1,2,16,3.7,16,22,77,0.18,-6,52,230.92,38.4,
1,2,17,3.5,4,22,68,0.15,-7,52,62.45,8.8,
1,2,18,3.7,12,23,76,0,-8,52,194.46,24,
1,2,19,4.3,9,21,77,0,-10,52,125.58,14.4,
1,2,20,3.8,9,17,79,0,-12,52,137.56,10.8,
1,2,21,4.2,24,18,60,0,-12,52,333.26,28.8,
1,2,22,3.3,6,18,65,0,-14,52,110.04,4.8,
1,2,23,3.8,25,19,67,0,-14,52,405.26,20,
1,2,24,4.1,26,19,73,0,-14,52,392.16,20.8,
1,3,1,3.5,13,16,63,0,-15,52,220.78,7.8,
1,3,2,3.8,14,18,80,0,-14,52,225.18,11.2,
1,3,3,3.4,30,16,76,0,-13,52,511.41,30,
1,3,4,3.6,13,18,61,0,-12,52,210.74,15.6,
1,3,5,3.9,8,18,69,0,-11,52,118.32,11.2,
1,3,6,4.2,24,18,74,0,-10,52,325.03,38.4,
1,3,7,4.0,25,18,67,0.15,-6,52,310.00,60,
1,3,8,4.0,21,22,64,0.18,-5,52,272.37,54.6,
1,3,9,4.0,16,21,61,0.21,-3,52,192.64,48,
1,3,10,4.3,28,21,65,0.24,-1,52,297.71,95.2,
1,3,11,3.7,27,21,63,0.27,-1,52,328.67,91.8,
1,3,12,3.6,26,22,60,0.3,-2,52,334.53,83.2,
1,3,13,3.7,22,20,72,0.27,-4,52,281.84,61.6,
1,3,14,4.0,29,20,70,0.24,-4,52,347.42,81.2,
1,3,15,4.1,30,24,67,0.21,-5,52,390.73,78,
1,3,16,3.9,23,21,68,0.18,-6,52,306.90,55.2,
1,3,17,3.9,1,20,78,0.15,-7,52,13.60,2.2,
1,3,18,3.5,24,21,68,0,-8,52,395.25,48,
1,3,19,3.7,23,22,76,0,-10,52,378.94,36.8,
1,3,20,4.1,23,16,66,0,-12,52,317.29,27.6,
1,3,21,3.9,2,17,70,0,-12,52,29.60,2.4,
1,3,22,3.3,18,17,79,0,-14,52,327.71,14.4,
1,3,23,4.3,15,16,60,0,-14,52,203.44,12,
1,3,24,4.3,7,18,60,0,-14,52,98.20,5.6,
1,4,1,3.4,11,19,67,0,-15,52,202.53,6.6,
1,4,2,4.0,24,18,62,0,-14,52,362.40,19.2,
1,4,3,4.2,10,19,69,0,-13,52,144.48,10,
1,4,4,4.0,10,16,60,0,-12,52,140.80,12,
1,4,5,3.4,6,18,67,0,-11,52,101.65,8.4,
1,4,6,3.6,18,17,80,0,-10,52,280.60,28.8,
1,4,7,3.8,13,16,69,0.15,-6,52,163.12,31.2,
1,4,8,3.4,29,20,75,0.18,-5,52,429.20,75.4,
1,4,9,3.9,17,20,67,0.21,-3,52,206.62,51,
1,4,10,3.4,18,22,66,0.24,-1,52,247.55,61.2,
1,4,11,4.0,5,22,75,0.27,-1,52,58.15,17,
1,4,12,4.3,10,20,78,0.3,-2,52,104.74,32,
1,4,13,4.1,10,21,67,0.27,-4,52,117.56,28,
1,4,14,3.4,24,20,79,0.24,-4,52,340.80,67.2,
1,4,15,4.0,12,20,60,0.21,-5,52,147.36,31.2,
1,4,16,4.1,7,23,78,0.18,-6,52,92.95,16.8,
1,4,17,3.8,19,23,79,0.15,-7,52,280.40,41.8,
1,4,18,3.4,29,21,78,0,-8,52,495.05,58,
1,4,19,3.3,17,24,66,0,-10,52,322.28,27.2,
1,4,20,3.8,13,18,65,0,-12,52,200.20,15.6,
1,4,21,4.2,28,18,70,0,-12,52,391.47,33.6,
1,4,22,3.8,27,18,73,0,-14,52,432.28,21.6,
1,4,23,4.3,29,19,74,0,-14,52,417.33,23.2,
1,4,24,3.6,3,16,70,0,-14,52,48.93,2.4,
1,5,1,3.3,5,17,66,0,-15,52,91.76,3,
1,5,2,3.5,25,17,79,0,-14,52,429.14,20,
1,5,3,3.6,20,17,62,0,-13,52,324.44,20,
1,5,4,3.6,10,17,62,0,-12,52,159.44,12,
1,5,5,4.1,22,19,70,0,-11,52,315.08,30.8,
1,5,6,4.3,13,18,68,0,-10,52,171.24,20.8,
1,5,7,3.9,10,18,74,0.15,-6,52,127.90,24,
1,5,8,4.0,11,24,61,0.18,-5,52,147.84,28.6,
1,5,9,4.2,1,22,77,0.21,-3,52,11.86,3,
1,5,10,4.1,20,21,71,0.24,-1,52,224.20,68,
1,5,11,4.3,25,21,60,0.27,-1,52,261.16,85,
1,5,12,4.0,15,20,63,0.3,-2,52,166.65,48,
1,5,13,4.2,26,22,75,0.27,-4,52,306.55,72.8,
1,5,14,4.3,20,22,75,0.24,-4,52,233.12,56,
1,5,15,4.2,11,21,70,0.21,-5,52,132.31,28.6,
1,5,16,3.9,29,23,69,0.18,-6,52,402.13,69.6,
1,5,17,4.1,16,21,61,0.15,-7,52,208.23,35.2,
1,5,18,3.7,23,22,72,0,-8,52,365.51,46,
1,5,19,3.3,13,23,63,0,-10,52,242.04,20.8,
1,5,20,4.0,7,17,66,0,-12,52,100.73,8.4,
1,5,21,3.8,11,19,79,0,-12,52,173.92,13.2,
1,5,22,3.3,9,18,76,0,-14,52,166.25,7.2,
1,5,23,3.3,22,16,72,0,-14,52,392.00,17.6,
1,5,24,4.0,7,16,77,0,-14,52,103.25,5.6,
1,6,1,3.8,8,19,67,0,-15,52,131.79,4.8,
1,6,2,3.7,16,19,63,0,-14,52,265.69,12.8,
1,6,3,3.3,20,16,77,0,-13,52,351.52,20,
1,6,4,3.4,28,19,63,0,-12,52,489.51,33.6,
1,6,5,4.2,14,16,76,0,-11,52,186.53,19.6,
1,6,6,3.4,21,16,78,0,-10,52,339.95,33.6,
1,6,7,3.4,1,17,73,0.15,-6,52,14.36,2.4,
1,6,8,3.3,29,23,74,0.18,-5,52,468.22,75.4,
1,6,9,3.6,6,21,66,0.21,-3,52,80.60,18,
1,6,10,4.2,4,23,60,0.24,-1,52,45.26,13.6,
1,6,11,3.5,3,24,75,0.27,-1,52,41.59,10.2,
1,6,12,3.3,12,20,71,0.3,-2,52,162.76,38.4,
1,6,13,3.7,9,20,77,0.27,-4,52,115.78,25.2,
1,6,14,3.7,15,21,72,0.24,-4,52,198.65,42,
1,6,15,3.4,12,20,62,0.21,-5,52,173.65,31.2,
1,6,16,3.6,28,22,69,0.18,-6,52,412.84,67.2,
1,6,17,3.7,9,23,74,0.15,-7,52,135.92,19.8,
1,6,18,3.4,7,24,70,0,-8,52,125.01,14,
1,6,19,3.6,27,20,72,0,-10,52,441.00,43.2,
1,6,20,3.3,11,19,80,0,-12,52,200.40,13.2,
1,6,21,3.9,9,18,61,0,-12,52,134.68,10.8,
1,6,22,4.1,27,17,71,0,-14,52,393.54,21.6,
1,6,23,3.3,29,17,73,0,-14,52,525.87,23.2,
1,6,24,3.6,29,17,77,0,-14,52,483.33,23.2,
1,7,1,3.7,7,17,66,0,-15,52,114.57,4.2,
1,7,2,3.7,26,18,64,0,-14,52,424.99,20.8,
1,7,3,3.9,7,18,60,0,-13,52,106.47,7,
1,7,4,4.3,30,18,65,0,-12,52,408.28,36,
1,7,5,3.9,22,19,77,0,-11,52,332.82,30.8,
1,7,6,3.6,4,18,70,0,-10,52,63.02,6.4,
1,7,7,3.3,5,17,74,0.15,-6,52,74.06,12,
1,7,8,4.0,28,24,65,0.18,-5,52,377.44,72.8,
1,7,9,3.6,7,20,76,0.21,-3,52,92.87,21,
1,7,10,3.3,26,20,72,0.24,-1,52,354.55,88.4,
1,7,11,3.5,13,21,77,0.27,-1,52,169.37,44.2,
1,7,12,3.6,10,22,71,0.3,-2,52,129.89,32,
1,7,13,3.7,10,21,62,0.27,-4,52,129.73,28,
1,7,14,4.0,1,20,78,0.24,-4,52,12.06,2.8,
1,7,15,4.0,20,20,66,0.21,-5,52,246.80,52,
1,7,16,3.3,21,24,65,0.18,-6,52,349.49,50.4,
1,7,17,4.0,23,22,62,0.15,-7,52,312.80,50.6,
1,7,18,4.3,19,23,75,0,-8,52,264.76,38,
1,7,19,3.8,1,20,80,0,-10,52,15.56,1.6,
1,7,20,3.6,6,17,63,0,-12,52,95.73,7.2,
1,7,21,4.3,17,16,61,0,-12,52,222.82,20.4,
1,7,22,3.9,21,18,78,0,-14,52,328.68,16.8,
1,7,23,4.3,9,17,76,0,-14,52,125.50,7.2,
1,7,24,4.2,4,16,76,0,-14,52,56.15,3.2,
1,8,1,3.7,12,18,72,0,-15,52,200.43,7.2,
1,8,2,3.9,21,18,65,0,-14,52,325.88,16.8,
1,8,3,3.4,3,19,76,0,-13,52,53.79,3,
1,8,4,3.9,17,19,69,0,-12,52,260.14,20.4,
1,8,5,4.0,17,16,70,0,-11,52,236.81,23.8,
1,8,6,3.9,11,19,78,0,-10,52,163.70,17.6,
1,8,7,4.0,19,16,70,0.15,-6,52,226.67,45.6,
1,8,8,3.8,12,23,78,0.18,-5,52,168.76,31.2,
1,8,9,3.7,12,24,79,0.21,-3,52,168.26,36,
1,8,10,4.2,11,21,71,0.24,-1,52,120.37,37.4,
1,8,11,3.4,8,21,70,0.27,-1,52,106.64,27.2,
1,8,12,4.3,30,20,73,0.3,-2,52,312.84,96,
1,8,13,3.4,13,20,66,0.27,-4,52,180.32,36.4,
1,8,14,4.3,3,21,69,0.24,-4,52,34.10,8.4,
1,8,15,3.9,13,23,76,0.21,-5,52,175.87,33.8,
1,8,16,3.9,20,20,79,0.18,-6,52,264.00,48,
1,8,17,4.3,13,21,67,0.15,-7,52,162.05,28.6,
1,8,18,3.3,28,23,79,0,-8,52,509.77,56,
1,8,19,3.5,7,21,76,0,-10,52,119.92,11.2,
1,8,20,4.0,14,17,73,0,-12,52,202.44,16.8,
1,8,21,3.4,20,18,66,0,-12,52,344.47,24,
1,8,22,3.3,10,18,69,0,-14,52,183.88,8,
1,8,23,4.0,12,19,64,0,-14,52,184.44,9.6,
1,8,24,3.7,28,19,74,0,-14,52,468.28,22.4,
1,9,1,3.6,4,17,60,0,-15,52,67.02,2.4,
1,9,2,4.1,29,17,74,0,-14,52,423.54,23.2,
1,9,3,3.4,29,17,74,0,-13,52,502.21,29,
1,9,4,3.7,3,19,76,0,-12,52,48.62,3.6,
1,9,5,3.7,12,19,62,0,-11,52,189.41,16.8,
1,9,6,4.2,23,17,68,0,-10,52,304.70,36.8,
1,9,7,4.3,29,16,70,0.15,-6,52,321.83,69.6,
1,9,8,3.4,24,24,66,0.18,-5,52,380.89,62.4,
1,9,9,4.2,16,22,67,0.21,-3,52,188.19,48,
1,9,10,4.3,27,22,78,0.24,-1,52,296.62,91.8,
1,9,11,4.1,4,20,80,0.27,-1,52,43.63,13.6,
1,9,12,4.1,16,21,65,0.3,-2,52,177.64,51.2,
1,9,13,3.3,27,23,72,0.27,-4,52,412.36,75.6,
1,9,14,3.3,23,22,75,0.24,-4,52,349.32,64.4,
1,9,15,4.1,8,21,74,0.21,-5,52,98.89,20.8,
1,9,16,3.4,6,21,66,0.18,-6,52,91.69,14.4,
1,9,17,3.3,2,22,76,0.15,-7,52,33.31,4.4,
1,9,18,4.1,11,20,79,0,-8,52,153.14,22,
1,9,19,3.9,20,22,61,0,-10,52,309.54,32,
1,9,20,3.7,3,17,76,0,-12,52,46.99,3.6,
1,9,21,4.3,12,18,67,0,-12,52,163.53,14.4,
1,9,22,3.5,4,18,60,0,-14,52,68.94,3.2,
1,9,23,3.9,19,17,62,0,-14,52,289.38,15.2,
1,9,24,3.8,23,18,77,0,-14,52,369.21,18.4,
1,10,1,3.7,30,19,73,0,-15,52,509.51,18,
1,10,2,3.6,12,18,66,0,-14,52,201.87,9.6,
1,10,3,4.0,15,19,73,0,-13,52,228.15,15,
1,10,4,3.3,3,18,78,0,-12,52,53.67,3.6,
1,10,5,3.5,19,16,70,0,-11,52,302.48,26.6,
1,10,6,3.6,12,16,78,0,-10,52,183.47,19.2,
1,10,7,3.3,19,19,66,0.15,-6,52,291.10,45.6,
1,10,8,3.7,30,21,70,0.18,-5,52,414.49,78,
1,10,9,3.5,26,24,70,0.21,-3,52,382.72,78,
1,10,10,4.3,22,23,79,0.24,-1,52,247.01,74.8,
1,10,11,4.1,16,23,64,0.27,-1,52,183.73,54.4,
1,10,12,3.8,22,21,61,0.3,-2,52,262.61,70.4,
1,10,13,4.1,14,24,67,0.27,-4,52,174.83,39.2,
1,10,14,3.4,23,21,69,0.24,-4,52,330.66,64.4,
1,10,15,4.0,7,22,67,0.21,-5,52,89.95,18.2,
1,10,16,3.5,22,22,76,0.18,-6,52,335.41,52.8,
1,10,17,3.8,26,20,70,0.15,-7,52,360.72,57.2,
1,10,18,4.0,10,23,67,0,-8,52,149.00,20,
1,10,19,3.8,15,20,77,0,-10,52,232.89,24,
1,10,20,3.9,10,18,74,0,-12,52,150.97,12,
1,10,21,3.3,20,16,72,0,-12,52,344.24,24,
1,10,22,3.5,21,16,77,0,-14,52,354.00,16.8,
1,10,23,3.5,16,18,68,0,-14,52,277.21,12.8,
1,10,24,4.1,18,17,79,0,-14,52,263.77,14.4,
1,11,1,3.8,29,19,79,0,-15,52,513.41,13.05,
1,11,2,3.4,3,18,79,0,-14,52,57.60,1.8,
1,11,3,3.7,21,18,74,0,-13,52,362.68,15.75,
1,11,4,4.2,10,18,64,0,-12,52,147.98,9,
1,11,5,3.4,13,17,69,0,-11,52,231.42,13.65,
1,11,6,3.9,17,19,76,0,-10,52,270.47,20.4,
1,11,7,3.5,30,19,64,0.15,-6,52,460.93,54,
1,11,8,4.0,21,23,70,0.18,-5,52,296.89,40.95,
1,11,9,3.8,21,20,69,0.21,-3,52,280.74,47.25,
1,11,10,3.3,4,24,73,0.24,-1,52,63.55,10.2,
1,11,11,4.3,10,23,72,0.27,-1,52,117.85,25.5,
1,11,12,4.1,11,24,72,0.3,-2,52,139.51,26.4,
1,11,13,3.4,25,24,66,0.27,-4,52,398.71,52.5,
1,11,14,3.6,19,20,71,0.24,-4,52,270.62,39.9,
1,11,15,3.4,6,23,67,0.21,-5,52,98.21,11.7,
1,11,16,3.8,26,22,67,0.18,-6,52,385.38,46.8,
1,11,17,4.0,1,23,60,0.15,-7,52,14.62,1.65,
1,11,18,3.6,5,23,64,0,-8,52,87.71,7.5,
1,11,19,3.9,24,21,66,0,-10,52,389.54,28.8,
1,11,20,3.8,28,18,67,0,-12,52,459.61,25.2,
1,11,21,3.5,21,18,64,0,-12,52,372.90,18.9,
1,11,22,4.3,27,16,70,0,-14,52,393.07,16.2,
1,11,23,3.4,19,19,61,0,-14,52,362.82,11.4,
1,11,24,3.9,30,17,71,0,-14,52,489.81,18,
1,12,1,4.1,1,16,79,0,-15,52,15.68,0.45,
1,12,2,4.2,5,16,65,0,-14,52,74.08,3,
1,12,3,4.0,8,17,74,0,-13,52,125.80,6,
1,12,4,3.8,4,17,60,0,-12,52,64.05,3.6,
1,12,5,3.7,4,16,63,0,-11,52,63.86,4.2,
1,12,6,3.5,8,17,75,0,-10,52,137.09,9.6,
1,12,7,3.6,29,17,66,0.15,-6,52,418.28,52.2,
1,12,8,3.7,12,20,79,0.18,-5,52,175.86,23.4,
1,12,9,3.9,16,20,80,0.21,-3,52,211.79,36,
1,12,10,3.4,17,21,68,0.24,-1,52,245.25,43.35,
1,12,11,3.3,20,22,72,0.27,-1,52,301.06,51,
1,12,12,4.2,29,23,72,0.3,-2,52,352.14,69.6,
1,12,13,4.3,1,23,65,0.27,-4,52,12.36,2.1,
1,12,14,3.7,16,22,72,0.24,-4,52,230.70,33.6,
1,12,15,4.2,21,21,60,0.21,-5,52,265.63,40.95,
1,12,16,3.4,9,24,72,0.18,-6,52,155.38,16.2,
1,12,17,3.7,8,22,64,0.15,-7,52,124.92,13.2,
1,12,18,4.0,13,23,73,0,-8,52,207.43,19.5,
1,12,19,4.1,18,23,69,0,-10,52,287.67,21.6,
1,12,20,4.1,7,19,66,0,-12,52,108.07,6.3,
1,12,21,3.9,29,18,64,0,-12,52,462.14,26.1,
1,12,22,4.2,8,19,69,0,-14,52,124.81,4.8,
1,12,23,3.6,1,16,76,0,-14,52,17.51,0.6,
1,12,24,4.3,2,18,61,0,-14,52,29.73,1.2,
1,13,1,4.2,1,19,75,0,-15,52,15.95,0.45,
1,13,2,3.3,20,16,77,0,-14,52,382.58,12,
1,13,3,3.9,30,19,72,0,-13,52,498.08,22.5,
1,13,4,3.6,29,18,63,0,-12,52,500.05,26.1,
1,13,5,3.6,8,19,66,0,-11,52,138.44,8.4,
1,13,6,3.3,15,19,72,0,-10,52,280.68,18,
1,13,7,4.2,3,19,73,0.15,-6,52,38.89,5.4,
1,13,8,3.5,14,23,76,0.18,-5,52,228.00,27.3,
1,13,9,3.7,19,24,77,0.21,-3,52,284.49,42.75,
1,13,10,3.8,5,23,70,0.24,-1,52,67.37,12.75,
1,13,11,3.9,30,24,74,0.27,-1,52,398.65,76.5,
1,13,12,4.2,29,22,66,0.3,-2,52,342.13,69.6,
1,13,13,3.6,7,24,77,0.27,-4,52,107.04,14.7,
1,13,14,3.8,10,22,62,0.24,-4,52,138.42,21,
1,13,15,3.4,29,22,73,0.21,-5,52,469.97,56.55,
1,13,16,3.3,28,20,63,0.18,-6,52,458.39,50.4,
1,13,17,3.6,6,20,78,0.15,-7,52,94.71,9.9,
1,13,18,3.4,6,23,63,0,-8,52,111.31,9,
1,13,19,4.2,11,23,78,0,-10,52,173.38,13.2,
1,13,20,3.9,27,19,68,0,-12,52,439.27,24.3,
1,13,21,3.6,27,16,61,0,-12,52,449.44,24.3,
1,13,22,3.4,1,17,70,0,-14,52,18.71,0.6,
1,13,23,3.6,11,18,76,0,-14,52,198.76,6.6,
1,13,24,4.0,5,19,64,0,-14,52,81.44,3,
1,14,1,3.7,23,17,65,0,-15,52,399.24,10.35,
1,14,2,3.5,28,17,78,0,-14,52,513.60,16.8,
1,14,3,3.3,22,19,75,0,-13,52,433.17,16.5,
1,14,4,3.7,14,18,62,0,-12,52,234.59,12.6,
1,14,5,4.0,30,19,68,0,-11,52,468.38,31.5,
1,14,6,3.3,4,16,63,0,-10,52,70.39,4.8,
1,14,7,3.7,14,19,79,0.15,-6,52,207.73,25.2,
1,14,8,4.2,25,21,70,0.18,-5,52,324.70,48.75,
1,14,9,3.8,2,23,72,0.21,-3,52,28.43,4.5,
1,14,10,3.3,21,24,64,0.24,-1,52,329.32,53.55,
1,14,11,4.1,13,21,64,0.27,-1,52,152.43,33.15,
1,14,12,3.8,30,21,80,0.3,-2,52,391.58,72,
1,14,13,4.2,30,24,80,0.27,-4,52,394.82,63,
1,14,14,3.6,24,22,65,0.24,-4,52,352.17,50.4,
1,14,15,4.2,18,24,76,0.21,-5,52,245.68,35.1,
1,14,16,4.0,12,23,63,0.18,-6,52,171.08,21.6,
1,14,17,4.0,25,23,69,0.15,-7,52,369.69,41.25,
1,14,18,3.9,18,20,72,0,-8,52,280.38,27,
1,14,19,4.1,23,23,68,0,-10,52,367.16,27.6,
1,14,20,4.3,4,17,61,0,-12,52,56.67,3.6,
1,14,21,3.8,14,19,65,0,-12,52,232.93,12.6,
1,14,22,3.9,26,19,75,0,-14,52,439.83,15.6,
1,14,23,4.1,18,19,65,0,-14,52,286.35,10.8,
1,14,24,3.4,19,16,63,0,-14,52,346.89,11.4,
1,15,1,4.1,7,18,64,0,-15,52,111.23,3.15,
1,15,2,4.2,18,19,76,0,-14,52,283.07,10.8,
1,15,3,3.6,15,16,62,0,-13,52,254.17,11.25,
1,15,4,3.5,18,16,72,0,-12,52,312.43,16.2,
1,15,5,3.7,27,18,70,0,-11,52,449.51,28.35,
1,15,6,4.1,20,18,80,0,-10,52,299.27,24,
1,15,7,4.2,10,19,77,0.15,-6,52,130.36,18,
1,15,8,3.9,26,24,68,0.18,-5,52,382.67,50.7,
1,15,9,3.6,20,23,77,0.21,-3,52,302.22,45,
1,15,10,3.5,23,22,67,0.24,-1,52,328.41,58.65,
1,15,11,3.3,9,22,76,0.27,-1,52,136.30,22.95,
1,15,12,3.8,12,22,69,0.3,-2,52,157.18,28.8,
1,15,13,3.7,14,20,70,0.27,-4,52,191.18,29.4,
1,15,14,4.0,3,20,80,0.24,-4,52,38.96,6.3,
1,15,15,3.4,29,24,64,0.21,-5,52,481.27,56.55,
1,15,16,3.3,15,22,61,0.18,-6,52,253.98,27,
1,15,17,4.1,5,23,68,0.15,-7,52,72.04,8.25,
1,15,18,3.6,26,24,64,0,-8,52,463.31,39,
1,15,19,4.3,18,20,78,0,-10,52,264.56,21.6,
1,15,20,4.3,2,17,79,0,-12,52,28.97,1.8,
1,15,21,3.6,1,16,73,0,-12,52,16.90,0.9,
1,15,22,3.5,29,18,70,0,-14,52,535.26,17.4,
1,15,23,3.5,23,18,69,0,-14,52,424.02,13.8,
1,15,24,4.2,21,18,75,0,-14,52,324.88,12.6,
1,16,1,3.5,23,16,72,0,-15,52,418.93,10.35,
1,16,2,4.3,20,19,64,0,-14,52,303.02,12,
1,16,3,4.2,27,19,65,0,-13,52,412.88,20.25,
1,16,4,3.9,20,16,64,0,-12,52,308.46,18,
1,16,5,3.3,18,18,62,0,-11,52,332.73,18.9,
1,16,6,3.7,13,18,70,0,-10,52,212.92,15.6,
1,16,7,3.7,30,18,69,0.15,-6,52,430.95,54,
1,16,8,4.3,20,24,71,0.18,-5,52,268.02,39,
1,16,9,4.3,15,21,69,0.21,-3,52,180.70,33.75,
1,16,10,3.4,11,24,62,0.24,-1,52,166.94,28.05,
1,16,11,3.4,5,24,75,0.27,-1,52,76.32,12.75,
1,16,12,4.2,15,20,65,0.3,-2,52,169.55,36,
1,16,13,3.3,7,20,68,0.27,-4,52,106.86,14.7,
1,16,14,3.5,16,21,74,0.24,-4,52,240.00,33.6,
1,16,15,3.9,20,22,63,0.21,-5,52,278.72,39,
1,16,16,4.1,13,22,63,0.18,-6,52,177.64,23.4,
1,16,17,4.3,1,22,76,0.15,-7,52,13.65,1.65,
1,16,18,3.8,27,21,75,0,-8,52,440.35,40.5,
1,16,19,3.3,30,20,70,0,-10,52,569.09,36,
1,16,20,4.0,5,16,73,0,-12,52,76.03,4.5,
1,16,21,4.2,10,16,62,0,-12,52,142.86,9,
1,16,22,3.8,27,19,64,0,-14,52,462.91,16.2,
1,16,23,3.5,10,18,69,0,-14,52,184.36,6,
1,16,24,4.3,15,18,65,0,-14,52,224.04,9,
1,17,1,4.2,20,16,60,0,-15,52,299.29,9,
1,17,2,4.1,22,17,78,0,-14,52,344.49,13.2,
1,17,3,4.0,16,18,63,0,-13,52,252.30,12,
1,17,4,3.4,6,16,62,0,-12,52,105.88,5.4,
1,17,5,3.7,24,18,73,0,-11,52,401.03,25.2,
1,17,6,3.9,8,17,67,0,-10,52,121.79,9.6,
1,17,7,3.3,18,16,75,0.15,-6,52,281.45,32.4,
1,17,8,3.7,13,22,64,0.18,-5,52,193.59,25.35,
1,17,9,4.0,15,20,71,0.21,-3,52,191.06,33.75,
1,17,10,4.3,11,20,80,0.24,-1,52,125.22,28.05,
1,17,11,3.9,4,24,64,0.27,-1,52,52.38,10.2,
1,17,12,3.9,23,23,77,0.3,-2,52,302.98,55.2,
1,17,13,3.8,14,20,68,0.27,-4,52,185.59,29.4,
1,17,14,3.9,2,21,66,0.24,-4,52,26.62,4.2,
1,17,15,4.2,28,23,61,0.21,-5,52,368.00,54.6,
1,17,16,3.9,30,24,62,0.18,-6,52,445.77,54,
1,17,17,4.2,14,23,80,0.15,-7,52,199.92,23.1,
1,17,18,4.2,21,20,65,0,-8,52,301.13,31.5,
1,17,19,4.2,7,22,67,0,-10,52,107.29,8.4,
1,17,20,3.7,30,19,70,0,-12,52,515.68,27,
1,17,21,3.9,15,17,76,0,-12,52,238.65,13.5,
1,17,22,3.4,21,19,64,0,-14,52,402.40,12.6,
1,17,23,3.4,21,17,79,0,-14,52,396.99,12.6,
1,17,24,4.3,25,16,72,0,-14,52,364.83,15,
1,18,1,4.2,5,17,73,0,-15,52,77.17,2.25,
1,18,2,3.7,17,19,64,0,-14,52,299.34,10.2,
1,18,3,3.9,30,16,63,0,-13,52,469.81,22.5,
1,18,4,3.8,4,16,77,0,-12,52,64.34,3.6,
1,18,5,3.6,18,19,60,0,-11,52,309.25,18.9,
1,18,6,3.6,8,17,65,0,-10,52,131.61,9.6,
1,18,7,4.1,18,17,76,0.15,-6,52,231.26,32.4,
1,18,8,3.9,22,22,64,0.18,-5,52,310.82,42.9,
1,18,9,3.7,14,22,69,0.21,-3,52,199.78,31.5,
1,18,10,4.0,18,21,71,0.24,-1,52,221.74,45.9,
1,18,11,4.0,12,20,74,0.27,-1,52,143.48,30.6,
1,18,12,4.0,28,24,66,0.3,-2,52,360.85,67.2,
1,18,13,3.4,5,20,66,0.27,-4,52,73.86,10.5,
1,18,14,3.5,7,23,74,0.24,-4,52,109.00,14.7,
1,18,15,4.0,16,20,74,0.21,-5,52,212.70,31.2,
1,18,16,3.5,13,23,61,0.18,-6,52,211.25,23.4,
1,18,17,4.2,17,23,76,0.15,-7,52,241.54,28.05,
