Building Name,Building Volume [m^3],Building Type,month,date,hour,Weighted temp. setpoint [C],Solar irradiation normal [w/m2],Solar irradiation horizontal [w/m2],Outside temp. [C],Location,Relative Humidity,Heating Load [kwh],Cooling load [kwh]
D,857,Wood,4,2,24,19,0,0,-5,W,63,237.9,41.136
A,941,Glass,4,3,1,19,0,0,-6,X,68,266.87,47.05
B,551,Steel,4,3,2,18,0,0,-4,Y,72,148.44,24.244
C,710,Concrete,4,3,3,18,0,0,-2,Z,67,183.46,28.4
D,644,Wood,4,3,4,16,0,0,-2,W,72,160.61,23.184
A,671,Glass,4,3,5,18,0,0,0,X,71,167.21,24.156
B,907,Steel,4,3,6,17,0,0,1,Y,78,218.22,29.024
C,986,Concrete,4,3,7,19,0.174,0.029,2,Z,80,225.11,33.524
D,827,Wood,4,3,8,20,0.204,0.034,4,W,75,181.33,26.464
A,897,Glass,4,3,9,24,0.234,0.039,6,X,64,200.94,32.292
B,618,Steel,4,3,10,20,0.264,0.044,8,Y,75,119.37,14.832
C,649,Concrete,4,3,11,22,0.294,0.049,10,Z,69,122.6,15.576
D,534,Wood,4,3,12,24,0.324,0.054,13,W,68,96.47,11.748
A,717,Glass,4,3,13,22,0.294,0.049,14,X,68,120.97,11.472
B,769,Steel,4,3,14,23,0.264,0.044,14,Y,71,136.39,13.842
C,969,Concrete,4,3,15,24,0.234,0.039,13,Z,76,185.48,21.318
D,969,Wood,4,3,16,22,0.204,0.034,12,W,70,182.42,19.38
A,626,Glass,4,3,17,23,0.174,0.029,10,X,75,129.78,16.276
B,769,Steel,4,3,18,23,0,0,8,Y,68,179.64,23.07
C,967,Concrete,4,3,19,24,0,0,6,Z,66,240.01,34.812
D,913,Wood,4,3,20,19,0,0,3,W,75,219.12,29.216
A,500,Glass,4,3,21,19,0,0,0,X,62,126.2,19
B,567,Steel,4,3,22,18,0,0,-2,Y,62,145.95,22.68
C,886,Concrete,4,3,23,18,0,0,-3,Z,77,235.14,37.212
D,563,Wood,4,3,24,16,0,0,-5,W,75,149.2,23.646
A,989,Glass,4,4,1,17,0,0,-6,X,67,270.39,45.494
B,697,Steel,4,4,2,18,0,0,-4,Y,80,188.89,30.668
C,892,Concrete,4,4,3,19,0,0,-2,Z,61,233.88,37.464
D,580,Wood,4,4,4,18,0,0,-2,W,68,149.99,23.2
A,524,Glass,4,4,5,19,0,0,0,X,71,133.2,19.912
B,722,Steel,4,4,6,19,0,0,1,Y,78,180.93,25.992
C,971,Concrete,4,4,7,17,0.174,0.029,2,Z,62,208.48,29.13
D,593,Wood,4,4,8,20,0.204,0.034,4,W,74,129.9,18.976
A,923,Glass,4,4,9,24,0.234,0.039,6,X,75,208.79,33.228
B,607,Steel,4,4,10,22,0.264,0.044,8,Y,65,122.1,16.996
C,948,Concrete,4,4,11,23,0.294,0.049,10,Z,79,185.72,24.648
D,916,Wood,4,4,12,22,0.324,0.054,13,W,78,158.16,16.488
A,997,Glass,4,4,13,22,0.294,0.049,14,X,60,166.61,15.952
B,728,Steel,4,4,14,20,0.264,0.044,14,Y,74,118.63,8.736
C,770,Concrete,4,4,15,23,0.234,0.039,13,Z,61,141.23,15.4
D,543,Wood,4,4,16,20,0.204,0.034,12,W,65,96.25,8.688
A,871,Glass,4,4,17,21,0.174,0.029,10,X,65,170.12,19.162
B,711,Steel,4,4,18,21,0,0,8,Y,67,158.84,18.486
C,725,Concrete,4,4,19,21,0,0,6,Z,63,168.64,21.75
D,528,Wood,4,4,20,18,0,0,3,W,60,122.5,15.84
A,773,Glass,4,4,21,18,0,0,0,X,74,193.1,27.828
B,770,Steel,4,4,22,19,0,0,-2,Y,72,203.59,32.34
C,914,Concrete,4,4,23,17,0,0,-3,Z,66,235.99,36.56
D,722,Wood,4,4,24,18,0,0,-5,W,63,196.82,33.212
A,532,Glass,4,5,1,18,0,0,-6,X,72,148.64,25.536
B,663,Steel,4,5,2,19,0,0,-4,Y,65,181,30.498
C,941,Concrete,4,5,3,19,0,0,-2,Z,74,249.18,39.522
D,528,Wood,4,5,4,16,0,0,-2,W,80,132.53,19.008
A,925,Glass,4,5,5,19,0,0,0,X,70,234.95,35.15
B,800,Steel,4,5,6,19,0,0,1,Y,60,197.6,28.8
C,792,Concrete,4,5,7,17,0.174,0.029,2,Z,77,172.43,23.76
D,697,Wood,4,5,8,21,0.204,0.034,4,W,60,154.22,23.698
A,684,Glass,4,5,9,24,0.234,0.039,6,X,69,153.91,24.624
B,783,Steel,4,5,10,23,0.264,0.044,8,Y,69,162.05,23.49
C,973,Concrete,4,5,11,24,0.294,0.049,10,Z,71,193.93,27.244
D,953,Wood,4,5,12,24,0.324,0.054,13,W,74,173.31,20.966
A,541,Glass,4,5,13,24,0.294,0.049,14,X,69,96.79,10.82
B,793,Steel,4,5,14,21,0.264,0.044,14,Y,68,132.24,11.102
C,946,Concrete,4,5,15,22,0.234,0.039,13,Z,75,171.42,17.028
D,751,Wood,4,5,16,24,0.204,0.034,12,W,78,150.09,18.024
A,838,Glass,4,5,17,22,0.174,0.029,10,X,73,169.2,20.112
B,534,Steel,4,5,18,23,0,0,8,Y,67,124.64,16.02
C,605,Concrete,4,5,19,21,0,0,6,Z,71,141.69,18.15
D,939,Wood,4,5,20,16,0,0,3,W,71,210.52,24.414
A,500,Glass,4,5,21,19,0,0,0,X,76,127.6,19
B,576,Steel,4,5,22,17,0,0,-2,Y,74,146.76,21.888
C,741,Concrete,4,5,23,17,0,0,-3,Z,71,192.07,29.64
D,852,Wood,4,5,24,19,0,0,-5,W,63,236.52,40.896
A,505,Glass,4,6,1,18,0,0,-6,X,73,141.2,24.24
B,592,Steel,4,6,2,18,0,0,-4,Y,70,159.25,26.048
C,548,Concrete,4,6,3,16,0,0,-2,Z,78,137.33,19.728
D,874,Wood,4,6,4,16,0,0,-2,W,80,219.37,31.464
A,706,Glass,4,6,5,19,0,0,0,X,79,180.59,26.828
B,707,Steel,4,6,6,19,0,0,1,Y,71,176.18,25.452
C,687,Concrete,4,6,7,17,0.174,0.029,2,Z,65,147.92,20.61
D,639,Wood,4,6,8,21,0.204,0.034,4,W,76,143.43,21.726
A,884,Glass,4,6,9,24,0.234,0.039,6,X,63,197.85,31.824
B,592,Steel,4,6,10,24,0.264,0.044,8,Y,79,126.66,18.944
C,781,Concrete,4,6,11,21,0.294,0.049,10,Z,79,145.2,17.182
D,886,Wood,4,6,12,21,0.324,0.054,13,W,78,148.55,14.176
A,956,Glass,4,6,13,24,0.294,0.049,14,X,79,172.95,19.12
B,826,Steel,4,6,14,24,0.264,0.044,14,Y,72,150.79,16.52
C,560,Concrete,4,6,15,23,0.234,0.039,13,Z,70,103.72,11.2
D,690,Wood,4,6,16,20,0.204,0.034,12,W,76,123.83,11.04
A,950,Glass,4,6,17,24,0.174,0.029,10,X,64,199.6,26.6
B,888,Steel,4,6,18,21,0,0,8,Y,73,199.44,23.088
C,529,Concrete,4,6,19,23,0,0,6,Z,65,128.55,17.986
D,950,Wood,4,6,20,16,0,0,3,W,60,210.9,24.7
A,560,Glass,4,6,21,18,0,0,0,X,76,140.11,20.16
B,901,Steel,4,6,22,19,0,0,-2,Y,70,237.86,37.842
C,585,Concrete,4,6,23,17,0,0,-3,Z,70,151.52,23.4
D,634,Wood,4,6,24,18,0,0,-5,W,63,172.83,29.164
A,533,Glass,4,7,1,19,0,0,-6,X,62,150.52,26.65
B,578,Steel,4,7,2,19,0,0,-4,Y,67,158.03,26.588
C,666,Concrete,4,7,3,16,0,0,-2,Z,62,164.77,23.976
D,865,Wood,4,7,4,16,0,0,-2,W,61,213.83,31.14
A,639,Glass,4,7,5,18,0,0,0,X,60,157.83,23.004
B,679,Steel,4,7,6,18,0,0,1,Y,69,165.54,23.086
C,989,Concrete,4,7,7,18,0.174,0.029,2,Z,66,218.08,31.648
D,626,Wood,4,7,8,24,0.204,0.034,4,W,69,149.03,25.04
A,741,Glass,4,7,9,22,0.234,0.039,6,X,67,159.03,23.712
B,595,Steel,4,7,10,20,0.264,0.044,8,Y,78,115.29,14.28
C,511,Concrete,4,7,11,21,0.294,0.049,10,Z,78,94.9,11.242
D,634,Wood,4,7,12,22,0.324,0.054,13,W,61,107.31,11.412
A,791,Glass,4,7,13,22,0.294,0.049,14,X,68,133.45,12.656
B,897,Steel,4,7,14,24,0.264,0.044,14,Y,70,163.4,17.94
C,509,Concrete,4,7,15,22,0.234,0.039,13,Z,80,92.74,9.162
D,959,Wood,4,7,16,22,0.204,0.034,12,W,66,179.77,19.18
A,745,Glass,4,7,17,21,0.174,0.029,10,X,62,145.06,16.39
B,949,Steel,4,7,18,21,0,0,8,Y,62,211.06,24.674
C,829,Concrete,4,7,19,21,0,0,6,Z,62,192.66,24.87
D,601,Wood,4,7,20,18,0,0,3,W,63,139.79,18.03
A,742,Glass,4,7,21,18,0,0,0,X,65,184.02,26.712
B,542,Steel,4,7,22,16,0,0,-2,Y,62,134.09,19.512
C,615,Concrete,4,7,23,19,0,0,-3,Z,62,164.45,27.06
D,592,Wood,4,7,24,18,0,0,-5,W,77,163.04,27.232
A,804,Glass,4,8,1,16,0,0,-6,X,77,217.4,35.376
B,648,Steel,4,8,2,19,0,0,-4,Y,72,177.81,29.808
C,623,Concrete,4,8,3,16,0,0,-2,Z,75,155.75,22.428
D,559,Wood,4,8,4,16,0,0,-2,W,68,138.97,20.124
A,853,Glass,4,8,5,17,0,0,0,X,80,209.84,29.002
B,763,Steel,4,8,6,17,0,0,1,Y,63,181.29,24.416
C,878,Concrete,4,8,7,17,0.174,0.029,2,Z,69,189.74,26.34
D,942,Wood,4,8,8,22,0.204,0.034,4,W,70,215.02,33.912
A,861,Glass,4,8,9,22,0.234,0.039,6,X,68,184.95,27.552
B,676,Steel,4,8,10,23,0.264,0.044,8,Y,75,140.72,20.28
C,931,Concrete,4,8,11,20,0.294,0.049,10,Z,69,166.57,18.62
D,840,Wood,4,8,12,23,0.324,0.054,13,W,73,148.39,16.8
A,773,Glass,4,8,13,23,0.294,0.049,14,X,76,135.51,13.914
B,803,Steel,4,8,14,21,0.264,0.044,14,Y,61,132.78,11.242
C,924,Concrete,4,8,15,24,0.234,0.039,13,Z,75,176.68,20.328
D,779,Wood,4,8,16,21,0.204,0.034,12,W,76,143.69,14.022
A,906,Glass,4,8,17,22,0.174,0.029,10,X,65,181.48,21.744
B,627,Steel,4,8,18,21,0,0,8,Y,69,140.32,16.302
C,629,Concrete,4,8,19,22,0,0,6,Z,68,150.08,20.128
D,955,Wood,4,8,20,16,0,0,3,W,79,215.64,24.83
A,691,Glass,4,8,21,17,0,0,0,X,60,167.22,23.494
B,870,Steel,4,8,22,17,0,0,-2,Y,67,220.46,33.06
C,955,Concrete,4,8,23,16,0,0,-3,Z,77,243.91,36.29
D,678,Wood,4,8,24,17,0,0,-5,W,69,182.25,29.832
A,942,Glass,4,9,1,18,0,0,-6,X,74,263.57,45.216
B,729,Steel,4,9,2,18,0,0,-4,Y,78,197.27,32.076
C,632,Concrete,4,9,3,17,0,0,-2,Z,64,159.77,24.016
D,554,Wood,4,9,4,16,0,0,-2,W,75,138.5,19.944
A,897,Glass,4,9,5,16,0,0,0,X,77,215.64,28.704
B,621,Steel,4,9,6,19,0,0,1,Y,68,154.38,22.356
C,794,Concrete,4,9,7,17,0.174,0.029,2,Z,67,171.27,23.82
D,729,Wood,4,9,8,20,0.204,0.034,4,W,65,158.38,23.328
A,827,Glass,4,9,9,23,0.234,0.039,6,X,74,182.78,28.118
B,737,Steel,4,9,10,20,0.264,0.044,8,Y,79,142.95,17.688
C,545,Concrete,4,9,11,24,0.294,0.049,10,Z,68,108.3,15.26
D,851,Wood,4,9,12,22,0.324,0.054,13,W,65,144.72,15.318
A,659,Glass,4,9,13,20,0.294,0.049,14,X,61,103.67,7.908
B,739,Steel,4,9,14,20,0.264,0.044,14,Y,76,120.72,8.868
C,501,Concrete,4,9,15,20,0.234,0.039,13,Z,68,85.07,7.014
D,687,Wood,4,9,16,21,0.204,0.034,12,W,66,125.35,12.366
A,641,Glass,4,9,17,21,0.174,0.029,10,X,76,126.6,14.102
B,611,Steel,4,9,18,22,0,0,8,Y,74,140.41,17.108
C,865,Concrete,4,9,19,21,0,0,6,Z,77,203.62,25.95
D,731,Wood,4,9,20,18,0,0,3,W,73,171.49,21.93
A,807,Glass,4,9,21,16,0,0,0,X,68,192.55,25.824
B,561,Steel,4,9,22,18,0,0,-2,Y,62,144.4,22.44
C,720,Concrete,4,9,23,17,0,0,-3,Z,73,186.91,28.8
D,944,Wood,4,9,24,17,0,0,-5,W,67,253.37,41.536
A,779,Glass,4,10,1,17,0,0,-6,X,69,213.29,35.834
B,967,Steel,4,10,2,18,0,0,-4,Y,60,258.19,42.548
C,501,Concrete,4,10,3,19,0,0,-2,Z,64,131.66,21.042
D,715,Wood,4,10,4,17,0,0,-2,W,78,182.75,27.17
A,554,Glass,4,10,5,16,0,0,0,X,71,132.52,17.728
B,719,Steel,4,10,6,17,0,0,1,Y,75,172.56,23.008
C,765,Concrete,4,10,7,16,0.174,0.029,2,Z,61,160.28,21.42
D,881,Wood,4,10,8,23,0.204,0.034,4,W,78,206.91,33.478
A,624,Glass,4,10,9,20,0.234,0.039,6,X,75,128.68,17.472
B,1000,Steel,4,10,10,24,0.264,0.044,8,Y,79,213.96,32
C,666,Concrete,4,10,11,23,0.294,0.049,10,Z,60,127.95,17.316
D,919,Wood,4,10,12,23,0.324,0.054,13,W,80,163.64,18.38
A,922,Glass,4,10,13,24,0.294,0.049,14,X,80,166.98,18.44
B,669,Steel,4,10,14,23,0.264,0.044,14,Y,67,118.12,12.042
C,535,Concrete,4,10,15,22,0.234,0.039,13,Z,72,96.63,9.63
D,746,Wood,4,10,16,24,0.204,0.034,12,W,61,146.56,17.904
A,801,Glass,4,10,17,24,0.174,0.029,10,X,73,169.74,22.428
B,795,Steel,4,10,18,23,0,0,8,Y,66,185.39,23.85
C,955,Concrete,4,10,19,24,0,0,6,Z,80,239.71,34.38
D,789,Wood,4,10,20,18,0,0,3,W,68,184.31,23.67
A,743,Glass,4,10,21,19,0,0,0,X,62,187.53,28.234
B,910,Steel,4,10,22,18,0,0,-2,Y,79,237.33,36.4
C,630,Concrete,4,10,23,18,0,0,-3,Z,80,167.58,26.46
D,558,Wood,4,10,24,17,0,0,-5,W,61,149.1,24.552
A,910,Glass,4,11,1,19,0,0,-6,X,79,260.08,45.5
B,729,Steel,4,11,2,17,0,0,-4,Y,68,192.16,30.618
C,624,Concrete,4,11,3,17,0,0,-2,Z,66,158,23.712
D,525,Wood,4,11,4,17,0,0,-2,W,71,133.46,19.95
A,906,Glass,4,11,5,18,0,0,0,X,79,227.22,32.616
B,610,Steel,4,11,6,18,0,0,1,Y,62,147.86,20.74
C,1000,Concrete,4,11,7,19,0.174,0.029,2,Z,61,224.51,34
D,790,Wood,4,11,8,23,0.204,0.034,4,W,60,182.7,30.02
A,874,Glass,4,11,9,23,0.234,0.039,6,X,80,194.21,29.716
B,771,Steel,4,11,10,23,0.264,0.044,8,Y,63,158.64,23.13
C,902,Concrete,4,11,11,22,0.294,0.049,10,Z,79,172.2,21.648
D,688,Wood,4,11,12,24,0.324,0.054,13,W,64,123.74,15.136
A,624,Glass,4,11,13,24,0.294,0.049,14,X,75,112.39,12.48
B,997,Steel,4,11,14,22,0.264,0.044,14,Y,79,173.44,15.952
C,784,Concrete,4,11,15,21,0.234,0.039,13,Z,72,137.68,12.544
D,723,Wood,4,11,16,21,0.204,0.034,12,W,72,132.79,13.014
A,713,Glass,4,11,17,20,0.174,0.029,10,X,79,137.69,14.26
B,573,Steel,4,11,18,20,0,0,8,Y,79,126.52,13.752
C,916,Concrete,4,11,19,20,0,0,6,Z,65,208.85,25.648
D,548,Wood,4,11,20,16,0,0,3,W,64,122.09,14.248
A,937,Glass,4,11,21,19,0,0,0,X,62,236.5,35.606
B,718,Steel,4,11,22,18,0,0,-2,Y,66,185.39,28.72
C,954,Concrete,4,11,23,17,0,0,-3,Z,74,247.85,38.16
D,529,Wood,4,11,24,17,0,0,-5,W,65,141.77,23.276
A,627,Glass,4,12,1,19,0,0,-6,X,72,178.32,31.35
B,910,Steel,4,12,2,18,0,0,-4,Y,60,242.97,40.04
C,723,Concrete,4,12,3,18,0,0,-2,Z,65,186.53,28.92
D,949,Wood,4,12,4,16,0,0,-2,W,80,238.2,34.164
A,868,Glass,4,12,5,19,0,0,0,X,70,220.47,32.984
B,720,Steel,4,12,6,18,0,0,1,Y,75,176.4,24.48
C,644,Concrete,4,12,7,16,0.174,0.029,2,Z,67,135.7,18.032
D,501,Wood,4,12,8,21,0.204,0.034,4,W,66,111.45,17.034
A,710,Glass,4,12,9,21,0.234,0.039,6,X,68,148.97,21.3
B,638,Steel,4,12,10,21,0.264,0.044,8,Y,64,125.02,16.588
C,793,Concrete,4,12,11,22,0.294,0.049,10,Z,75,150.76,19.032
D,746,Wood,4,12,12,22,0.324,0.054,13,W,67,127.16,13.428
A,803,Glass,4,12,13,21,0.294,0.049,14,X,71,131.94,11.242
B,785,Steel,4,12,14,21,0.264,0.044,14,Y,70,131.22,10.99
C,912,Concrete,4,12,15,22,0.234,0.039,13,Z,70,164.35,16.416
D,958,Wood,4,12,16,22,0.204,0.034,12,W,61,178.63,19.16
A,556,Glass,4,12,17,23,0.174,0.029,10,X,68,114.49,14.456
B,989,Steel,4,12,18,23,0,0,8,Y,66,230.63,29.67
C,896,Concrete,4,12,19,20,0,0,6,Z,70,205.18,25.088
D,985,Wood,4,12,20,18,0,0,3,W,75,231.48,29.55
A,716,Glass,4,12,21,19,0,0,0,X,62,180.72,27.208
B,517,Steel,4,12,22,17,0,0,-2,Y,66,130.9,19.646
C,731,Concrete,4,12,23,16,0,0,-3,Z,72,185.97,27.778
D,782,Wood,4,12,24,18,0,0,-5,W,68,213.96,35.972
A,669,Glass,4,13,1,19,0,0,-6,X,73,190.4,33.45
B,717,Steel,4,13,2,18,0,0,-4,Y,72,193.16,31.548
C,906,Concrete,4,13,3,19,0,0,-2,Z,76,240.27,38.052
D,932,Wood,4,13,4,16,0,0,-2,W,64,230.95,33.552
A,759,Glass,4,13,5,17,0,0,0,X,70,185.2,25.806
B,837,Steel,4,13,6,16,0,0,1,Y,80,197.53,25.11
C,888,Concrete,4,13,7,19,0.174,0.029,2,Z,63,199.72,30.192
D,640,Wood,4,13,8,23,0.204,0.034,4,W,73,149.67,24.32
A,577,Glass,4,13,9,24,0.234,0.039,6,X,67,129.6,20.772
B,835,Steel,4,13,10,20,0.264,0.044,8,Y,79,161.96,20.04
C,935,Concrete,4,13,11,21,0.294,0.049,10,Z,60,170.27,20.57
D,872,Wood,4,13,12,20,0.324,0.054,13,W,77,141.67,12.208
A,787,Glass,4,13,13,20,0.294,0.049,14,X,65,124.43,9.444
B,965,Steel,4,13,14,23,0.264,0.044,14,Y,63,169.61,17.37
C,641,Concrete,4,13,15,21,0.234,0.039,13,Z,77,113.21,10.256
D,816,Wood,4,13,16,21,0.204,0.034,12,W,60,147.91,14.688
A,939,Glass,4,13,17,20,0.174,0.029,10,X,71,179.83,18.78
B,629,Steel,4,13,18,24,0,0,8,Y,77,151.21,20.128
C,571,Concrete,4,13,19,22,0,0,6,Z,60,135.33,18.272
D,827,Wood,4,13,20,18,0,0,3,W,69,193.35,24.81
A,685,Glass,4,13,21,17,0,0,0,X,63,166.18,23.29
B,981,Steel,4,13,22,16,0,0,-2,Y,60,242.31,35.316
C,747,Concrete,4,13,23,19,0,0,-3,Z,75,201.69,32.868
D,579,Wood,4,13,24,19,0,0,-5,W,74,162,27.792
A,909,Glass,4,14,1,19,0,0,-6,X,77,259.43,45.45
B,859,Steel,4,14,2,18,0,0,-4,Y,70,231.07,37.796
C,967,Concrete,4,14,3,17,0,0,-2,Z,66,244.84,36.746
D,505,Wood,4,14,4,18,0,0,-2,W,60,129.79,20.2
A,647,Glass,4,14,5,19,0,0,0,X,79,165.5,24.586
B,718,Steel,4,14,6,17,0,0,1,Y,73,172.03,22.976
C,674,Concrete,4,14,7,19,0.174,0.029,2,Z,78,153.61,22.916
D,958,Wood,4,14,8,20,0.204,0.034,4,W,61,207.37,30.656
A,675,Glass,4,14,9,24,0.234,0.039,6,X,78,153.1,24.3
B,839,Steel,4,14,10,20,0.264,0.044,8,Y,66,160.55,20.136
C,951,Concrete,4,14,11,22,0.294,0.049,10,Z,79,181.56,22.824
D,703,Wood,4,14,12,21,0.324,0.054,13,W,66,116.18,11.248
A,767,Glass,4,14,13,22,0.294,0.049,14,X,67,129.25,12.272
B,589,Steel,4,14,14,22,0.264,0.044,14,Y,72,101.64,9.424
C,803,Concrete,4,14,15,24,0.234,0.039,13,Z,80,154.34,17.666
D,757,Wood,4,14,16,23,0.204,0.034,12,W,65,145.54,16.654
A,602,Glass,4,14,17,20,0.174,0.029,10,X,63,114.33,12.04
B,613,Steel,4,14,18,23,0,0,8,Y,64,142.71,18.39
C,1000,Concrete,4,14,19,23,0,0,6,Z,80,246,34
D,533,Wood,4,14,20,16,0,0,3,W,77,120.14,13.858
A,978,Glass,4,14,21,16,0,0,0,X,68,233.35,31.296
B,693,Steel,4,14,22,18,0,0,-2,Y,76,180.32,27.72
C,860,Concrete,4,14,23,18,0,0,-3,Z,60,225.32,36.12
D,678,Wood,4,14,24,16,0,0,-5,W,75,179.67,28.476
A,995,Glass,4,15,1,17,0,0,-6,X,61,270.84,45.77
B,952,Steel,4,15,2,18,0,0,-4,Y,72,256.47,41.888
C,633,Concrete,4,15,3,19,0,0,-2,Z,79,168.25,26.586
D,858,Wood,4,15,4,18,0,0,-2,W,72,222.57,34.32
A,810,Glass,4,15,5,19,0,0,0,X,69,205.58,30.78
B,718,Steel,4,15,6,19,0,0,1,Y,76,179.64,25.848
C,598,Concrete,4,15,7,19,0.174,0.029,2,Z,65,134.74,20.332
D,797,Wood,4,15,8,24,0.204,0.034,4,W,69,189.73,31.88
A,766,Glass,4,15,9,20,0.234,0.039,6,X,63,156.12,21.448
B,836,Steel,4,15,10,23,0.264,0.044,8,Y,73,173.69,25.08
C,652,Concrete,4,15,11,24,0.294,0.049,10,Z,60,128.52,18.256
D,971,Wood,4,15,12,20,0.324,0.054,13,W,78,157.94,13.594
A,971,Glass,4,15,13,24,0.294,0.049,14,X,79,175.66,19.42
B,717,Steel,4,15,14,24,0.264,0.044,14,Y,60,129.17,14.34
C,560,Concrete,4,15,15,22,0.234,0.039,13,Z,72,101.14,10.08
D,694,Wood,4,15,16,22,0.204,0.034,12,W,76,131.49,13.88
A,560,Glass,4,15,17,21,0.174,0.029,10,X,67,109.6,12.32
B,697,Steel,4,15,18,23,0,0,8,Y,68,162.82,20.91
C,602,Concrete,4,15,19,24,0,0,6,Z,77,150.74,21.672
D,842,Wood,4,15,20,17,0,0,3,W,63,191.64,23.576
A,748,Glass,4,15,21,19,0,0,0,X,75,190.74,28.424
B,730,Steel,4,15,22,17,0,0,-2,Y,69,185.27,27.74
C,983,Concrete,4,15,23,19,0,0,-3,Z,73,265.02,43.252
D,625,Wood,4,15,24,19,0,0,-5,W,67,174,30
A,957,Glass,4,16,1,18,0,0,-6,X,73,267.58,45.936
B,596,Steel,4,16,2,16,0,0,-4,Y,65,153.77,23.84
C,796,Concrete,4,16,3,16,0,0,-2,Z,66,197.57,28.656
D,745,Wood,4,16,4,19,0,0,-2,W,66,196.08,31.29
A,503,Glass,4,16,5,19,0,0,0,X,65,127.26,19.114
B,916,Steel,4,16,6,19,0,0,1,Y,60,226.25,32.976
C,873,Concrete,4,16,7,18,0.174,0.029,2,Z,62,191.81,27.936
D,532,Wood,4,16,8,20,0.204,0.034,4,W,62,115.26,17.024
A,698,Glass,4,16,9,24,0.234,0.039,6,X,76,158.03,25.128
B,949,Steel,4,16,10,23,0.264,0.044,8,Y,69,196.41,28.47
C,856,Concrete,4,16,11,24,0.294,0.049,10,Z,80,172.15,23.968
D,587,Wood,4,16,12,20,0.324,0.054,13,W,64,93.84,8.218
A,671,Glass,4,16,13,24,0.294,0.049,14,X,62,119.11,13.42
